File;Hackathon download URL;File size;Hackathon thumbnail URL;Inventory Number;stable URI;Metadata available at
MFNB_Col_Brentidae_Trachelizinae_D0033.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Trachelizinae_D0033.jpg;185.933.256;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Trachelizinae_D0033.jpg;MFNB_Col_Brentidae_Trachelizinae_D0033;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Trachelizinae_D0033;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Trachelizinae_D0033
MFNB_Col_Brentidae_Trachelizinae_D0033a.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Trachelizinae_D0033a.jpg;155.633.283;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Trachelizinae_D0033a.jpg;MFNB_Col_Brentidae_Trachelizinae_D0033a;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Trachelizinae_D0033a;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Trachelizinae_D0033a
MFNB_Col_Brentidae_Trachelizinae_D0034.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Trachelizinae_D0034.jpg;188.784.939;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Trachelizinae_D0034.jpg;MFNB_Col_Brentidae_Trachelizinae_D0034;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Trachelizinae_D0034;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Trachelizinae_D0034
MFNB_Col_Brentidae_Trachelizinae_D0036.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Trachelizinae_D0036.jpg;191.655.865;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Trachelizinae_D0036.jpg;MFNB_Col_Brentidae_Trachelizinae_D0036;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Trachelizinae_D0036;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Trachelizinae_D0036
MFNB_Col_Brentidae_Trachelizinae_D0039.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Trachelizinae_D0039.jpg;183.555.885;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Trachelizinae_D0039.jpg;MFNB_Col_Brentidae_Trachelizinae_D0039;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Trachelizinae_D0039;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Trachelizinae_D0039
MFNB_Col_Brentidae_Trachelizinae_D0045a.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Trachelizinae_D0045a.jpg;211.177.210;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Trachelizinae_D0045a.jpg;MFNB_Col_Brentidae_Trachelizinae_D0045a;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Trachelizinae_D0045a;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Trachelizinae_D0045a
MFNB_Col_Brentidae_Trachelizinae_D0045b.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Trachelizinae_D0045b.jpg;211.586.939;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Trachelizinae_D0045b.jpg;MFNB_Col_Brentidae_Trachelizinae_D0045b;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Trachelizinae_D0045b;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Trachelizinae_D0045b
MFNB_Col_Brentidae_Trachelizinae_D0046.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Brentidae_Trachelizinae_D0046.jpg;189.117.590;http://coll.mfn-berlin.de/img/MFNB_Col_Brentidae_Trachelizinae_D0046.jpg;MFNB_Col_Brentidae_Trachelizinae_D0046;http://coll.mfn-berlin.de/u/MFNB_Col_Brentidae_Trachelizinae_D0046;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Brentidae_Trachelizinae_D0046
MFNB_Col_Buprestidae_Julodinae_D001.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Buprestidae_Julodinae_D001.jpg;157.627.671;http://coll.mfn-berlin.de/img/MFNB_Col_Buprestidae_Julodinae_D001.jpg;MFNB_Col_Buprestidae_Julodinae_D001;http://coll.mfn-berlin.de/u/MFNB_Col_Buprestidae_Julodinae_D001;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Buprestidae_Julodinae_D001
MFNB_Col_Buprestidae_Julodinae_D002.jpg;http://gbif.naturkundemuseum-berlin.de/hackathon/High_resolution/MFNB_Col_Buprestidae_Julodinae_D002.jpg;169.615.159;http://coll.mfn-berlin.de/img/MFNB_Col_Buprestidae_Julodinae_D002.jpg;MFNB_Col_Buprestidae_Julodinae_D002;http://coll.mfn-berlin.de/u/MFNB_Col_Buprestidae_Julodinae_D002;http://eos.naturkundemuseum-berlin.de/result?DrawerCode=MFNB_Col_Buprestidae_Julodinae_D002
